,genre_ids,movie_id,overview,popularity,poster_path,release_date,title,vote_average,vote_count
620,"[12, 14, 18, 10749]",8966,"When Bella Swan moves to a small town in the Pacific Northwest to live with her father, she starts school and meets the reclusive Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire. Despite Edward's repeated cautions, Bella can't help but fall in love with him, a fatal move that endangers her own life when a coven of bloodsuckers try to challenge the Cullen clan.",6.257588,/nlvPMLCdum7bkHKmDSMnNLGztmW.jpg,2008-11-20,Twilight,5.7,2478
621,[18],13223,"Walt Kowalski is a widower who holds onto his prejudices despite the changes in his Michigan neighborhood and the world around him. Kowalski is a grumpy, tough-minded, unhappy old man who can't get along with either his kids or his neighbors. He is a Korean War veteran whose prize possession is a 1972 Gran Torino he keeps in mint condition. When his neighbor Thao, a young Hmong teenager under pressure from his gang member cousin, tries to steal his Gran Torino, Kowalski sets out to reform the youth. Drawn against his will into the life of Thao's family, Kowalski is soon taking steps to protect them from the gangs that infest their neighborhood.",4.567968,/yeBc5vpEiqIAZrbVQnl833GlBEi.jpg,2008-12-09,Gran Torino,7.7,2325
622,"[14, 18, 53, 9648, 10749]",4922,"Tells the story of Benjamin Button, a man who starts aging backwards with bizarre consequences.",4.256833,/4O4INOPtWTfHq3dd5vYTPV0TCwa.jpg,2008-11-24,The Curious Case of Benjamin Button,7.3,2451
623,"[80, 18, 9648]",3580,"Christine Collins is overjoyed when her kidnapped son is brought back home. But when Christine suspects that the boy returned to her isn't her child, the police captain has her committed to an asylum.",3.584699,/qtte2n6ygA1zVG5kLrjUGui28TJ.jpg,2008-01-30,Changeling,7.3,879
624,"[18, 10749]",12405,"Jamal Malik is an impoverished Indian teen who becomes a contestant on the Hindi version of ‘Who Wants to Be a Millionaire?’ but, after he wins, he is suspected of cheating.",3.5219,/ojgf8iJpS4VX6jJfWGLpuEx0wm.jpg,2008-05-12,Slumdog Millionaire,7.6,2037
625,[18],11321,An IRS agent with a fateful secret embarks on an extraordinary journey of redemption by forever changing the lives of seven strangers.,3.176781,/mX8SsTw2uApc02W8SBIKeprcWr1.jpg,2008-12-18,Seven Pounds,7.5,1568
626,"[35, 18, 80]",8321,"Ray and Ken, two hit men, are in Bruges, Belgium, waiting for their next mission. While they are there they have time to think and discuss their previous assignment. When the mission is revealed to Ken, it is not what he expected.",2.954903,/kBABboeLU2HsKWSG7DwiF9saHl5.jpg,2008-02-08,In Bruges,7.4,1110
627,"[18, 28, 53, 80]",7461,The attempted assassination of the American President is told and re-told from several different perspectives.,2.937845,/2PnFsTzmFC3Ydhj0uBEYjPqHWHO.jpg,2008-02-01,Vantage Point,6.2,601
628,"[10402, 18, 10749]",8328,"When rebellious street dancer Andie lands at the elite Maryland School of the Arts, she finds herself fighting to fit in while also trying to hold onto her old life. When she joins forces with the schools hottest dancer, Chase, to form a crew of classmate outcasts to compete in Baltimore s underground dance battle The Streets.",2.87758,/5SwoeOUyfkS8s6aGB2bLYAL5jKR.jpg,2008-02-14,Step Up 2: The Streets,6.4,457
629,"[12, 28, 18, 14]",7840,A prehistoric epic that follows a young mammoth hunter's journey through uncharted territory to secure the future of his tribe.,2.854647,/rnGR3EHkL4ryhQd50XBrtRrV8nq.jpg,2008-02-22,"10,000 BC",5.1,733
630,"[27, 18, 53]",9539,"A young woman's quest for revenge against the people who kidnapped and tormented her as a child leads her and a friend, who is also a victim of child abuse, on a terrifying journey into a living hell of depravity.",2.83896,/fC2Uld8qZ6waCuo71oTKzJTscaN.jpg,2008-09-03,Martyrs,7.3,426
631,"[18, 53, 36, 10752]",2253,"Wounded in Africa during World War II, Nazi Col. Claus von Stauffenberg returns to his native Germany and joins the Resistance in a daring plan to create a shadow government and assassinate Adolf Hitler. When events unfold so that he becomes a central player, he finds himself tasked with both leading the coup and personally killing the Führer.",2.795628,/ewxjB0ijJsGiXpyVgNP6BeCdKRK.jpg,2008-12-25,Valkyrie,6.7,949
