,genre_ids,movie_id,overview,popularity,poster_path,release_date,title,vote_average,vote_count
1006,[35],353616,Sequel to Pitch Perfect 2,1.445054,/maBSZ4Oe42KtkjBX9KVRGjDMKzf.jpg,2017-12-21,Pitch Perfect 3,0.0,3
1007,"[35, 18]",14799,"Three actors learn that their respective performances in the film ""Home for Purim,"" a drama set in the mid-1940s American South, are generating award-season buzz.",1.445036,/lLSeBuqgWYJ4MZt18prqtWRTlof.jpg,2006-11-22,For Your Consideration,5.8,36
1008,"[80, 53]",393834,"Indigenous detective Jay Swan arrives in the frontier town of ""Goldstone"" on a missing persons inquiry. What seems like a simple ""light duties"" investigation opens into a web of crime and corruption. Jay must pull his life together and bury his differences with young local cop Josh, so together they can bring justice to Goldstone.",1.445005,/p0zu2NO165r6dqM4cPrhFrD6tBf.jpg,2016-07-07,Goldstone,6.3,11
1009,"[18, 10749]",195498,"Powerful and insatiable millionaire hides in his own private island for the weekend, in search of answers for his feeling of personal dissatisfaction. But he is not alone on the beautiful beach: he's surrounded by the women he cares for, especially his daughter, for whom he nurtures an almost incestuous desire.",1.445004,/e26SsmAxOUHprxj3dInMpgMXQNJ.jpg,1987-07-24,I,3.7,3
1010,[27],253376,"Group of Spanish friends on the tropical island holiday of a lifetime. Discovering a secret cave adds adventure. They enthusiastically go underground with their camera, but soon become hopelessly lost. Nail-biting tension in the tradition of recent Spanish horror films.",1.444987,/42GFavVvBgFlFgvgdWRYrTHdGYE.jpg,2014-01-24,In Darkness We Fall,5.5,28
1011,"[18, 53, 10749]",28520,"Every choice has a consequence. But what if the flip of a coin could trigger two separate but parallel destinies? Bobby (Joseph Gordon-Levitt) and Kate (Lynn Collins) are a young New York couple at a crossroads whose lives are about to take very different directions. A seemingly ordinary July 4th is cleaved in two by the flip of a coin. One path leads them to gentle discoveries about family, loss and each other on a visit to Brooklyn, and the other plunges them into an urban nightmare of pursuit, suspense and murder in Manhattan.",1.444861,/4vSp6GQXSV33WBJw3kzLJWjWWpT.jpg,2009-11-15,Uncertainty,5.6,30
1012,"[18, 35]",9071,Film about filmmaking. It takes place during one day on set of non-budget movie. Ultimate tribute to all independent filmmakers.,1.444844,/sWWb7tX3eEX7M0B7t89Gh9rDctX.jpg,1995-01-20,Living in Oblivion,7.2,54
1013,"[35, 80, 18, 53]",14019,Three handicapped losers who form a band ask famous writer Dries to be their drummer. He joins the band and starts manipulating them.,1.444792,/fcG4Mwf2mCn1PJmLepIPUNHJR2k.jpg,2007-01-31,Ex Drummer,6.6,37
1014,"[18, 10749]",2457,"Filmed during the German occupation, this French milestone centers around the theatrical life of a beautiful courtesan and the four men who love her. Voted the ""Best French Film in History"" by the French Film Academy in 1990.",1.44478,/yiy9stl1jjVhW44ypkWMFDT8Ix3.jpg,1945-03-15,Children of Paradise,7.7,64
1015,"[18, 9648, 53]",18030,"One evening, Hammer gives a ride to Christina, an attractive hitchhiker on a lonely country road, who has escaped from the nearby lunatic asylum. Thugs waylay them and force his car to crash. When Hammer returns to semi-consciousness, he hears Christina being tortured until she dies. Hammer, both for vengeance and in hopes that ""something big"" is behind it all, decides to pursue the case.",1.444715,/jgrfooIBhPwVnevbc3CG5WSxVeM.jpg,1955-05-18,Kiss Me Deadly,7.2,64
